internship_id,title,company,location,duration,required_skills
INT0020,Content Marketing Intern,Skyline Digital,Mumbai,2 Months,"Copywriting, Canva, Market Research, Email Marketing, Google Analytics"
INT0021,Data Science Intern,Nexora Technologies,Hyderabad,1 Month,"Python, NumPy, PyTorch, NLP, Scikit-learn"
INT0022,Frontend Developer Intern,CloudNine Systems,Delhi (Remote),6 Months,"HTML, REST APIs, CSS, Node.js"
INT0023,Frontend Developer Intern,DataSphere Inc,Hyderabad,1 Month,"JavaScript, MongoDB, React, Git, Express.js, REST APIs"
INT0024,Digital Marketing Intern,Brightpath Analytics,Hyderabad,1 Month,"Canva, Copywriting, Google Ads, Google Analytics, Branding"
INT0025,Cloud Engineering Intern,BluePeak Solutions,Pune,6 Months,"Linux, Azure, Kubernetes, Git, Terraform, CI/CD"
INT0026,Machine Learning Intern,Skyline Digital,Bangalore,1 Month,"Pandas, PyTorch, Scikit-learn, NumPy, NLP"
INT0027,Data Science Intern,DataSphere Inc,Remote,1 Month,"TensorFlow, Deep Learning, Pandas, PyTorch"
INT0028,Machine Learning Intern,FinEdge Capital,Remote,6 Months,"Python, Deep Learning, NLP, NumPy, PyTorch"
INT0029,Machine Learning Intern,Vantage Point Analytics,Bangalore,3 Months,"NLP, PyTorch, Python, Statistics"
INT0030,Data Analyst Intern,Rapidscale Technologies,Hyderabad,2 Months,"R Programming, Power BI, Excel, Python"
INT0031,Data Science Intern,Horizon Digital,Kolkata,1 Month,"Scikit-learn, PyTorch, Deep Learning, Python, NLP, Statistics"
INT0032,Graphic Design Intern,DataSphere Inc,Chennai,2 Months,"Prototyping, User Research, Wireframing, Photoshop"
INT0033,Backend Developer Intern,Nexora Technologies,Gurgaon,1 Month,"JavaScript, Node.js, MongoDB, TypeScript, HTML"
INT0034,Data Science Intern,CloudNine Systems,Chennai,3 Months,"PyTorch, NumPy, NLP, Scikit-learn, TensorFlow, Python"
INT0035,Machine Learning Intern,FinEdge Capital,Hyderabad,2 Months,"NumPy, NLP, Python, Computer Vision, Statistics"
INT0036,Backend Developer Intern,FinEdge Capital,Kolkata,2 Months,"CSS, Express.js, JavaScript, MongoDB"
INT0037,Content Marketing Intern,Vertex Solutions,Remote,3 Months,"Google Analytics, Email Marketing, Market Research, Social Media Marketing, SEO"
INT0038,Data Analyst Intern,BluePeak Solutions,Noida,6 Months,"Data Visualization, Excel, NumPy, SQL"
INT0039,UI/UX Design Intern,Brightpath Analytics,Chennai,2 Months,"Adobe XD, Canva, Photoshop, UI/UX Design"
INT0040,Cloud Engineering Intern,Brightpath Analytics,Chennai,2 Months,"AWS, CI/CD, Linux, Terraform"
INT0041,Digital Marketing Intern,Quantum Labs,Mumbai,2 Months,"Content Writing, Canva, Copywriting, Email Marketing"
INT0042,Finance Intern,Innotrix Corp,Remote,2 Months,"Risk Analysis, Excel, Accounting, Bloomberg Terminal"
INT0043,Backend Developer Intern,Zenith Software,Mumbai,2 Months,"CSS, Git, HTML, Express.js"
INT0044,Business Analyst Intern,DataSphere Inc,Remote,3 Months,"Bloomberg Terminal, Statistics, SQL, Financial Modeling, Excel"
INT0045,Backend Developer Intern,Vantage Point Analytics,Chennai,1 Month,"Node.js, REST APIs, Git, Express.js"
INT0046,Data Science Intern,Coreway Systems,Chennai,3 Months,"TensorFlow, NLP, Python, Pandas, NumPy"
INT0047,Cloud Engineering Intern,Brightpath Analytics,Remote,1 Month,"Git, Azure, Terraform, CI/CD, Shell Scripting, Docker"
INT0048,UI/UX Design Intern,Novatech Industries,Chennai,1 Month,"Illustrator, Wireframing, Prototyping, Figma, User Research, Photoshop"
INT0049,Content Marketing Intern,FinEdge Capital,Noida,2 Months,"Google Ads, Email Marketing, Copywriting, Social Media Marketing, Google Analytics"
INT0050,Frontend Developer Intern,Nexora Technologies,Delhi (Remote),3 Months,"Git, JavaScript, Node.js, React, MongoDB"
INT0051,Frontend Developer Intern,DataSphere Inc,Noida,6 Months,"TypeScript, REST APIs, MongoDB, React, Git"
INT0052,Finance Intern,Innotrix Corp,Hyderabad,2 Months,"Accounting, Financial Modeling, Statistics, Financial Reporting, Bloomberg Terminal, Risk Analysis"
INT0053,Digital Marketing Intern,CloudNine Systems,Gurgaon,1 Month,"Google Analytics, Branding, Social Media Marketing, SEO, Copywriting"
INT0054,DevOps Intern,CloudNine Systems,Pune,1 Month,"Shell Scripting, Kubernetes, Terraform, Git, Jenkins"
INT0055,Finance Intern,Rapidscale Technologies,Gurgaon,1 Month,"Risk Analysis, SQL, Accounting, Data Visualization"
INT0056,UI/UX Design Intern,BluePeak Solutions,Noida,3 Months,"Adobe XD, Sketch, Photoshop, Prototyping"
INT0057,Finance Intern,BluePeak Solutions,Pune,6 Months,"Data Visualization, Valuation, Risk Analysis, Financial Reporting, Statistics"
INT0058,DevOps Intern,Marketify Co,Gurgaon,1 Month,"Kubernetes, CI/CD, Jenkins, Linux, Azure"
INT0059,Content Marketing Intern,Vertex Solutions,Pune,2 Months,"Google Analytics, Email Marketing, Canva, Social Media Marketing, Google Ads"
INT0060,Frontend Developer Intern,Innotrix Corp,Noida,6 Months,"JavaScript, React, CSS, Express.js, Git"
INT0061,Cloud Engineering Intern,Horizon Digital,Bangalore,6 Months,"Kubernetes, Terraform, Git, Jenkins"
INT0062,DevOps Intern,Coreway Systems,Noida,2 Months,"Linux, CI/CD, Terraform, Jenkins"
INT0063,DevOps Intern,NorthStar Media,Chennai,6 Months,"CI/CD, Terraform, Jenkins, AWS"
INT0064,Content Marketing Intern,Horizon Digital,Kolkata,1 Month,"Market Research, Social Media Marketing, SEO, Google Analytics"
INT0065,Data Science Intern,NorthStar Media,Chennai,2 Months,"Deep Learning, TensorFlow, Pandas, Scikit-learn, Python, NumPy"
INT0066,DevOps Intern,Marketify Co,Hyderabad,6 Months,"Linux, Terraform, CI/CD, Git, Kubernetes"
INT0067,Data Analyst Intern,Brightpath Analytics,Bangalore,2 Months,"Statistics, Python, Data Visualization, SQL, Power BI, R Programming"
INT0068,Frontend Developer Intern,Zenith Software,Hyderabad,2 Months,"TypeScript, JavaScript, React, CSS"
INT0069,DevOps Intern,Pixelforge Studio,Delhi (Remote),1 Month,"CI/CD, Linux, Docker, Shell Scripting, Terraform, AWS"
INT0070,Graphic Design Intern,DataSphere Inc,Hyderabad,2 Months,"UI/UX Design, Prototyping, User Research, Wireframing"
INT0071,Data Science Intern,Streamline Ventures,Hyderabad,3 Months,"NLP, Scikit-learn, Python, TensorFlow, Statistics, PyTorch"
INT0072,Data Analyst Intern,BluePeak Solutions,Pune,6 Months,"Power BI, SQL, Tableau, Excel, Data Visualization"
INT0073,Machine Learning Intern,Marketify Co,Chennai,2 Months,"NumPy, NLP, Pandas, PyTorch, Deep Learning, Statistics"
INT0074,Business Analyst Intern,BluePeak Solutions,Kolkata,6 Months,"Statistics, Financial Reporting, SQL, Risk Analysis"
INT0075,Full Stack Developer Intern,DataSphere Inc,Chennai,3 Months,"MongoDB, REST APIs, JavaScript, React"
INT0076,Full Stack Developer Intern,Vertex Solutions,Mumbai,6 Months,"TypeScript, Node.js, HTML, Express.js, CSS"
INT0077,DevOps Intern,FinEdge Capital,Mumbai,6 Months,"Kubernetes, Jenkins, Git, Shell Scripting, AWS, Linux"
INT0078,Content Marketing Intern,Rapidscale Technologies,Chennai,6 Months,"Email Marketing, Canva, Market Research, Branding"
INT0079,Content Marketing Intern,CloudNine Systems,Hyderabad,2 Months,"Canva, Branding, Market Research, Social Media Marketing, Copywriting, Google Ads"
INT0080,Full Stack Developer Intern,Zenith Software,Delhi (Remote),3 Months,"Express.js, JavaScript, React, CSS"
INT0081,Data Science Intern,FinEdge Capital,Bangalore,2 Months,"NLP, PyTorch, Computer Vision, Scikit-learn"
INT0082,Backend Developer Intern,Quantum Labs,Gurgaon,1 Month,"HTML, Express.js, Node.js, REST APIs"
INT0083,Business Analyst Intern,BluePeak Solutions,Chennai,2 Months,"Data Visualization, Statistics, Financial Reporting, SQL"
INT0084,Data Analyst Intern,Vertex Solutions,Kolkata,1 Month,"Power BI, SQL, Statistics, Pandas, Tableau"
INT0085,Machine Learning Intern,Skyline Digital,Noida,6 Months,"Statistics, NLP, Scikit-learn, Pandas"
INT0086,Graphic Design Intern,Horizon Digital,Remote,3 Months,"Canva, Illustrator, Prototyping, User Research, Sketch, Photoshop"
INT0087,Graphic Design Intern,Vertex Solutions,Pune,2 Months,"Figma, Adobe XD, Illustrator, Wireframing, User Research, Photoshop"
INT0088,Machine Learning Intern,Zenith Software,Delhi (Remote),1 Month,"Scikit-learn, TensorFlow, Python, PyTorch, Deep Learning, NLP"
INT0089,Frontend Developer Intern,Marketify Co,Kolkata,2 Months,"Node.js, MongoDB, CSS, REST APIs, Express.js"
INT0090,Cloud Engineering Intern,Quantum Labs,Hyderabad,1 Month,"Git, Kubernetes, Docker, Jenkins"
INT0091,Machine Learning Intern,FinEdge Capital,Remote,3 Months,"Statistics, NLP, Pandas, Python, PyTorch"
INT0092,UI/UX Design Intern,Innotrix Corp,Kolkata,3 Months,"Sketch, Canva, Adobe XD, UI/UX Design, Figma, Illustrator"
INT0093,Data Analyst Intern,Brightpath Analytics,Pune,6 Months,"Pandas, Python, NumPy, Power BI"
INT0094,UI/UX Design Intern,Vertex Solutions,Gurgaon,3 Months,"Sketch, UI/UX Design, Photoshop, User Research, Illustrator, Wireframing"
INT0095,Cloud Engineering Intern,Zenith Software,Delhi (Remote),6 Months,"Linux, Azure, Docker, Jenkins, Kubernetes"
INT0096,Business Analyst Intern,Skyline Digital,Remote,1 Month,"Excel, Financial Reporting, Financial Modeling, Accounting, Risk Analysis, Bloomberg Terminal"
INT0097,Digital Marketing Intern,Novatech Industries,Gurgaon,6 Months,"Market Research, Copywriting, SEO, Content Writing, Email Marketing, Social Media Marketing"
INT0098,Finance Intern,BluePeak Solutions,Gurgaon,1 Month,"SQL, Statistics, Accounting, Financial Reporting"
INT0099,Data Analyst Intern,Vantage Point Analytics,Remote,1 Month,"R Programming, Pandas, Excel, Power BI, NumPy, Python"
INT0100,Frontend Developer Intern,FinEdge Capital,Noida,3 Months,"MongoDB, CSS, JavaScript, React"
INT0101,Cloud Engineering Intern,NorthStar Media,Mumbai,2 Months,"Jenkins, Kubernetes, Shell Scripting, CI/CD, Azure"
INT0102,Business Analyst Intern,Rapidscale Technologies,Delhi (Remote),1 Month,"Statistics, Risk Analysis, Bloomberg Terminal, Valuation"
INT0103,Backend Developer Intern,Streamline Ventures,Chennai,6 Months,"Node.js, MongoDB, JavaScript, React, TypeScript, Git"
INT0104,DevOps Intern,Brightpath Analytics,Chennai,6 Months,"Kubernetes, Shell Scripting, Terraform, Azure, Git"
INT0105,Content Marketing Intern,Rapidscale Technologies,Kolkata,3 Months,"Copywriting, Social Media Marketing, Market Research, SEO, Content Writing"
INT0106,Business Analyst Intern,Quantum Labs,Remote,2 Months,"Financial Reporting, Financial Modeling, Data Visualization, Excel"
INT0107,Data Science Intern,Innotrix Corp,Noida,6 Months,"NLP, Computer Vision, Deep Learning, NumPy, Python"
INT0108,Full Stack Developer Intern,FinEdge Capital,Mumbai,1 Month,"MongoDB, Express.js, HTML, Node.js, TypeScript, CSS"
INT0109,Cloud Engineering Intern,FinEdge Capital,Bangalore,1 Month,"Azure, Jenkins, Docker, Linux"
INT0110,Full Stack Developer Intern,Quantum Labs,Mumbai,6 Months,"Node.js, REST APIs, Express.js, React"
INT0111,Graphic Design Intern,Novatech Industries,Mumbai,6 Months,"Photoshop, Canva, User Research, Figma, UI/UX Design, Illustrator"
INT0112,Graphic Design Intern,Marketify Co,Bangalore,6 Months,"Illustrator, Sketch, UI/UX Design, Canva"
INT0113,Backend Developer Intern,FinEdge Capital,Remote,3 Months,"Express.js, JavaScript, CSS, React, TypeScript, Node.js"
INT0114,DevOps Intern,NorthStar Media,Kolkata,3 Months,"Kubernetes, Terraform, Jenkins, AWS, Azure"
INT0115,Graphic Design Intern,Horizon Digital,Bangalore,6 Months,"UI/UX Design, Figma, Prototyping, Photoshop, User Research"
INT0116,Business Analyst Intern,Novatech Industries,Delhi (Remote),2 Months,"SQL, Bloomberg Terminal, Data Visualization, Valuation, Financial Modeling"
INT0117,Digital Marketing Intern,Horizon Digital,Chennai,2 Months,"SEO, Email Marketing, Market Research, Branding"
INT0118,Data Science Intern,Vantage Point Analytics,Chennai,3 Months,"Computer Vision, Deep Learning, TensorFlow, Scikit-learn, NumPy"
INT0119,Business Analyst Intern,Innotrix Corp,Hyderabad,6 Months,"Statistics, Financial Reporting, Data Visualization, Bloomberg Terminal"
INT0120,Data Science Intern,NorthStar Media,Bangalore,3 Months,"PyTorch, Deep Learning, Computer Vision, Python"
